,Fornecedor,Numero_Serial,Manutenção_Preventiva,Manutenção_Emergencial,Manutenção_Corretiva,total,data,Equipamentos,Manutenção preditiva
65,SteelForce Equipamentos,RCBAYOV7RX,0.0,0.0,0.0,0.0,2024-01-01,Esmerilhadeira,0.0
66,SteelForce Equipamentos,AGGRA6QT7S,0.0,0.0,0.0,0.0,2024-01-01,Esmerilhadeira,0.0
67,SteelForce Equipamentos,K75ISYWCSZ,0.0,0.0,0.0,0.0,2024-01-01,Esmerilhadeira,0.0
68,SteelForce Equipamentos,HNGWW7MLSM,0.0,0.0,0.0,0.0,2024-01-01,Esmerilhadeira,0.0
69,SteelForce Equipamentos,B0V3TYK4JJ,,,,,2024-01-01,Esmerilhadeira,
70,SteelForce Equipamentos,XEIEWYI0HW,,,,,2024-01-01,Esmerilhadeira,
71,SteelForce Equipamentos,XEIEWYI0HW,,,,,2024-01-01,Esmerilhadeira,
72,SteelForce Equipamentos,MWXPO6QHFS,0.0,0.0,0.0,0.0,2024-01-01,Esmerilhadeira,0.0
73,TitanMachinery,07ZNAUGMK9,,,,,2024-01-01,Cortadora a Laser,
74,TitanMachinery,YDDZ44MVDQ,,,,,2024-01-01,Cortadora a Laser,
75,MegaForge Industrial,MKT9XULB0A,0.0,0.0,0.0,0.0,2024-01-01,Roteadora,0.0
76,MegaForge Industrial,AP2W4CHK5B,0.0,0.0,0.0,0.0,2024-01-01,Roteadora,0.0
77,MegaForge Industrial,3VHP3R4542,0.0,0.0,0.0,0.0,2024-01-01,Roteadora,0.0
78,MegaForge Industrial,HZ0HMHEP0B,0.0,0.0,0.0,0.0,2024-01-01,Roteadora,0.0
79,PowerWeld Industries,ZU3HB8B3KG,,,,,2024-01-01,Moinho,
80,PowerWeld Industries,ZO5WIM70ID,0.0,0.0,0.0,0.0,2024-01-01,Moinho,0.0
81,PowerWeld Industries,SRYQ18TAPT,,,,,2024-01-01,Moinho,
82,PrecisionTech Systems,SJOERLO7WV,,,,,2024-01-01,Desbastadora,
83,PrecisionTech Systems,5DRLG9H1P8,,,,,2024-01-01,Desbastadora,
84,PrecisionTech Systems,TB5M9Z110K,,,,,2024-01-01,Desbastadora,
85,PrecisionTech Systems,BTWE7HXN1U,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
86,PrecisionTech Systems,WF4FJ0SH54,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
87,PrecisionTech Systems,GM18FWIBIG,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
88,PrecisionTech Systems,V7DOI9KF66,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
89,PrecisionTech Systems,P845D1NYE5,,,,,2024-01-01,Desbastadora,
90,PrecisionTech Systems,7XUC6Y0OJ8,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
91,PrecisionTech Systems,FBAF2ER3EC,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
92,PrecisionTech Systems,ULT1RIWTC0,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
93,PrecisionTech Systems,2KRRU045CU,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
94,PrecisionTech Systems,0KBUCRMT3E,0.0,0.0,0.0,0.0,2024-01-01,Desbastadora,0.0
95,IronWave Equipamentos,K0MQ05PQDY,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
96,IronWave Equipamentos,D66BQSYA5B,,,,,2024-01-01,Triturador,
97,IronWave Equipamentos,NJ86S2XWJT,,,,,2024-01-01,Triturador,
98,IronWave Equipamentos,DVS1RMYRSV,,,,,2024-01-01,Triturador,
99,IronWave Equipamentos,5585O6RAUO,,,,,2024-01-01,Triturador,
100,IronWave Equipamentos,S26BT2545C,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
101,IronWave Equipamentos,JHKN1IEK0F,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
102,IronWave Equipamentos,XO5QZFTMD4,,,,,2024-01-01,Triturador,
103,IronWave Equipamentos,SRMJJCO3ZA,,,,,2024-01-01,Triturador,
104,IronWave Equipamentos,FS8MZJNMVS,,,,,2024-01-01,Triturador,
105,IronWave Equipamentos,SQXJQ5ZSO9,,,,,2024-01-01,Triturador,
106,IronWave Equipamentos,AYKVI78HR8,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
107,IronWave Equipamentos,CMAL5HJGCE,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
108,IronWave Equipamentos,KO4P7GCY3K,,,,,2024-01-01,Triturador,
109,IronWave Equipamentos,95OQQH2TBI,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
110,IronWave Equipamentos,LQ6HW9EJXO,,,,,2024-01-01,Triturador,
111,IronWave Equipamentos,685U25JSZ1,,,,,2024-01-01,Triturador,
112,IronWave Equipamentos,V5DNPB4RMJ,,,,,2024-01-01,Triturador,
113,IronWave Equipamentos,LYGP1F5YCX,,,,,2024-01-01,Triturador,
114,IronWave Equipamentos,IME4WVFTGN,,,,,2024-01-01,Triturador,
115,IronWave Equipamentos,110YGWSQE2,,,,,2024-01-01,Triturador,
116,IronWave Equipamentos,1TYKJ0HL8L,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
117,IronWave Equipamentos,O49E17BYX7,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
118,IronWave Equipamentos,D8TP0WNGI0,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
119,IronWave Equipamentos,XGF2RCIZ0S,,,,,2024-01-01,Triturador,
120,IronWave Equipamentos,P2T8H15K6V,,,,,2024-01-01,Triturador,
121,IronWave Equipamentos,BMKHZFY3DS,,,,,2024-01-01,Triturador,
122,IronWave Equipamentos,KUC4VCA8CO,0.0,0.0,0.0,0.0,2024-01-01,Triturador,0.0
123,CoreSteel Machinery,MZEI0T2P59,,,,,2024-01-01,Serra de Fita,
124,CoreSteel Machinery,CX9DP98PVW,,,,,2024-01-01,Serra de Fita,
125,CoreSteel Machinery,D65YIE5R2R,0.0,0.0,0.0,0.0,2024-01-01,Serra de Fita,0.0
126,CoreSteel Machinery,DGLOQQ5DAJ,0.0,0.0,0.0,0.0,2024-01-01,Serra de Fita,0.0
127,OptiMech Solutions,I327SEP33J,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
128,OptiMech Solutions,B34J76JRD6,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
129,OptiMech Solutions,IULC4B451S,,,,,2024-01-01,Máquina de Solda,
130,OptiMech Solutions,J74JA8L2KU,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
131,OptiMech Solutions,8G36P5CKKI,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
132,OptiMech Solutions,QVLRBBXVPV,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
133,OptiMech Solutions,1Y06OW56XU,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
134,OptiMech Solutions,E2Z40I89ZL,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
135,OptiMech Solutions,24HAMPYMHJ,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
136,OptiMech Solutions,SV1CY380FR,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
137,OptiMech Solutions,O77XQIT0DN,,,,,2024-01-01,Máquina de Solda,
138,OptiMech Solutions,G8MGH0TUZW,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
139,OptiMech Solutions,782S08DAII,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
140,OptiMech Solutions,T00P6YQXPA,,,,,2024-01-01,Máquina de Solda,
141,OptiMech Solutions,69G7H2IEL2,,,,,2024-01-01,Máquina de Solda,
142,OptiMech Solutions,U5XIFV7K40,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
143,OptiMech Solutions,0B8YH6LXRY,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
144,OptiMech Solutions,0IVGVBFO8I,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
145,OptiMech Solutions,FSNDZDZSBW,,,,,2024-01-01,Máquina de Solda,
146,OptiMech Solutions,WXS2ZEN4Z5,,,,,2024-01-01,Máquina de Solda,
147,OptiMech Solutions,LXDZD3Z2WX,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
148,OptiMech Solutions,NYLT9J2RWD,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
149,OptiMech Solutions,BR35W3Y4H2,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
150,OptiMech Solutions,10RE5MXK0Z,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
151,OptiMech Solutions,W4KW7NTNU7,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
152,OptiMech Solutions,SY7SZ07Q4D,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
153,OptiMech Solutions,REKAAV8KBP,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
154,OptiMech Solutions,ZXCPVTZPME,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
155,OptiMech Solutions,HS4WCQBN64,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
156,OptiMech Solutions,01BI0F2HAT,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
157,OptiMech Solutions,YLT5II1805,,,,,2024-01-01,Máquina de Solda,
158,OptiMech Solutions,J0MQLHJVUA,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
159,OptiMech Solutions,DK754SCRTB,,,,,2024-01-01,Máquina de Solda,
160,OptiMech Solutions,J0W1G6NI3Q,,,,,2024-01-01,Máquina de Solda,
161,OptiMech Solutions,4BSDGB8P2R,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
162,OptiMech Solutions,XQU6XRUUAX,,,,,2024-01-01,Máquina de Solda,
163,OptiMech Solutions,86QJRUBKEQ,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
164,OptiMech Solutions,03WYUAH8X3,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
165,OptiMech Solutions,1HS6MKMWMV,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
166,OptiMech Solutions,HC0YEW7D2T,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
167,OptiMech Solutions,6DEYF2D3T4,,,,,2024-01-01,Máquina de Solda,
168,OptiMech Solutions,WZKGB3TA4E,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
169,OptiMech Solutions,1OBUISQ7U4,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
170,OptiMech Solutions,C8D9B2LQEU,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
171,OptiMech Solutions,88D73TIS9Z,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Solda,0.0
172,ProForce Equipamentos,AFWSLLUX7K,0.0,0.0,0.0,0.0,2024-01-01,Compressores de Ar,0.0
173,ProForce Equipamentos,NT04EM2KJ7,0.0,0.0,0.0,0.0,2024-01-01,Compressores de Ar,0.0
174,ProForce Equipamentos,3F8V6W1YQX,0.0,0.0,0.0,0.0,2024-01-01,Compressores de Ar,0.0
175,ProForce Equipamentos,ZH6ZP942RH,0.0,0.0,0.0,0.0,2024-01-01,Compressores de Ar,0.0
176,ProForce Equipamentos,IL26LRWAQ7,0.0,0.0,0.0,0.0,2024-01-01,Compressores de Ar,0.0
177,ProForce Equipamentos,JA7F5K48ML,0.0,0.0,0.0,0.0,2024-01-01,Compressores de Ar,0.0
178,ProForce Equipamentos,3BAI1RMK3K,0.0,0.0,0.0,0.0,2024-01-01,Compressores de Ar,0.0
179,TitanForge Equipamentos,247M4MG4OL,,,,,2024-01-01,Injetora de Plástico,
180,MaxSteel Industries,Q317QWCZY3,,,,,2024-01-01,Retificadora,
181,MaxSteel Industries,ECJSJQU943,,,,,2024-01-01,Retificadora,
182,MetalMinds Equipamentos,S2CTVGJ4XV,,,,,2024-01-01,Máquina de Corte por Plasma,
183,MetalMinds Equipamentos,IYK0I4M6H5,,,,,2024-01-01,Máquina de Corte por Plasma,
184,MetalMinds Equipamentos,ZDPTC97IOV,,,,,2024-01-01,Máquina de Corte por Plasma,
185,MetalMinds Equipamentos,TQT9LDGEIT,,,,,2024-01-01,Máquina de Corte por Plasma,
186,MetalMinds Equipamentos,WQSM0YL9VJ,,,,,2024-01-01,Máquina de Corte por Plasma,
187,MetalMinds Equipamentos,IDYFSG7FY7,,,,,2024-01-01,Máquina de Corte por Plasma,
188,MetalMinds Equipamentos,LWUZS7SAZA,,,,,2024-01-01,Máquina de Corte por Plasma,
189,MetalMinds Equipamentos,22TNB6CFL0,,,,,2024-01-01,Máquina de Corte por Plasma,
190,MetalMinds Equipamentos,MY135VIQMK,,,,,2024-01-01,Máquina de Corte por Plasma,
191,MetalMinds Equipamentos,QDIXO7304U,,,,,2024-01-01,Máquina de Corte por Plasma,
192,MetalMinds Equipamentos,69BS4J7WTS,,,,,2024-01-01,Máquina de Corte por Plasma,
193,MetalMinds Equipamentos,MI5I930X4X,,,,,2024-01-01,Máquina de Corte por Plasma,
194,MetalMinds Equipamentos,HGNWXXAYB3,,,,,2024-01-01,Máquina de Corte por Plasma,
195,MetalMinds Equipamentos,HI7DKOUM44,,,,,2024-01-01,Máquina de Corte por Plasma,
196,MetalMinds Equipamentos,BUSIOQ87ZP,,,,,2024-01-01,Máquina de Corte por Plasma,
197,MetalMinds Equipamentos,D2O40BLH19,,,,,2024-01-01,Máquina de Corte por Plasma,
198,MetalMinds Equipamentos,N6G3G421GY,,,,,2024-01-01,Máquina de Corte por Plasma,
199,MetalMinds Equipamentos,7SHK1VZAMA,,,,,2024-01-01,Máquina de Corte por Plasma,
200,MetalMinds Equipamentos,ODNC16G3UG,,,,,2024-01-01,Máquina de Corte por Plasma,
201,MetalMinds Equipamentos,135RI12OQA,,,,,2024-01-01,Máquina de Corte por Plasma,
202,MetalMinds Equipamentos,IB1948BEEY,,,,,2024-01-01,Máquina de Corte por Plasma,
203,MetalMinds Equipamentos,WG4XSDVQAX,,,,,2024-01-01,Máquina de Corte por Plasma,
204,MetalMinds Equipamentos,65V2V9NGCB,,,,,2024-01-01,Máquina de Corte por Plasma,
205,MetalMinds Equipamentos,DAY89MW864,,,,,2024-01-01,Máquina de Corte por Plasma,
206,MetalMinds Equipamentos,FQWQ8JALV6,,,,,2024-01-01,Máquina de Corte por Plasma,
207,MetalMinds Equipamentos,HEVE1TW6E4,,,,,2024-01-01,Máquina de Corte por Plasma,
208,MetalMinds Equipamentos,JMBYDPDYF5,,,,,2024-01-01,Máquina de Corte por Plasma,
209,MetalMinds Equipamentos,1WYLTBVHAW,,,,,2024-01-01,Máquina de Corte por Plasma,
210,MetalMinds Equipamentos,3D70H28LWS,,,,,2024-01-01,Máquina de Corte por Plasma,
211,PowerLine Industries,GVLLZR5WFI,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
212,PowerLine Industries,F6NEXSJXNV,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
213,PowerLine Industries,X3B14TLTBX,,,,,2024-01-01,Forno de Tratamento Térmico,
214,PowerLine Industries,81VMTSGAPB,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
215,PowerLine Industries,0V1H3TW495,,,,,2024-01-01,Forno de Tratamento Térmico,
216,PowerLine Industries,YI7YVL4IP0,,,,,2024-01-01,Forno de Tratamento Térmico,
217,PowerLine Industries,YZRC6VFCVT,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
218,PowerLine Industries,S82ZEFBJF1,,,,,2024-01-01,Forno de Tratamento Térmico,
219,PowerLine Industries,WWDXNBJPWY,,,,,2024-01-01,Forno de Tratamento Térmico,
220,PowerLine Industries,ISZ9KS0FJQ,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
221,PowerLine Industries,G5M6YPJLDS,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
222,PowerLine Industries,XKCEL06X2V,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
223,PowerLine Industries,YD2ZEE98IX,,,,,2024-01-01,Forno de Tratamento Térmico,
224,PowerLine Industries,SFCM7L0P50,,,,,2024-01-01,Forno de Tratamento Térmico,
225,PowerLine Industries,5F6DZ39Q5X,,,,,2024-01-01,Forno de Tratamento Térmico,
226,PowerLine Industries,5V2M1NEWVY,,,,,2024-01-01,Forno de Tratamento Térmico,
227,PowerLine Industries,91LNZMF6P0,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
228,PowerLine Industries,QDCWU7A0FV,,,,,2024-01-01,Forno de Tratamento Térmico,
229,PowerLine Industries,LBPGNGDYJO,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
230,PowerLine Industries,R76H32EP6Z,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
231,PowerLine Industries,9PSVXVJHR1,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
232,PowerLine Industries,3HF0NNMUH6,,,,,2024-01-01,Forno de Tratamento Térmico,
233,PowerLine Industries,IBXJBLUMVW,,,,,2024-01-01,Forno de Tratamento Térmico,
234,PowerLine Industries,H126AXKMU7,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
235,PowerLine Industries,BPRZP3GUP4,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
236,PowerLine Industries,7657OAKHW2,,,,,2024-01-01,Forno de Tratamento Térmico,
237,PowerLine Industries,YUXP3U60GF,,,,,2024-01-01,Forno de Tratamento Térmico,
238,PowerLine Industries,0XNOV89VZF,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
239,PowerLine Industries,4RGZKNLPB1,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
240,PowerLine Industries,7KD28JAI6K,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
241,PowerLine Industries,7D5HGI01AX,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
242,PowerLine Industries,04500B2ZSI,,,,,2024-01-01,Forno de Tratamento Térmico,
243,PowerLine Industries,2MJ4XM7SZC,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
244,PowerLine Industries,M8O3MB9QC5,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
245,PowerLine Industries,76Y4F8ZYCD,0.0,0.0,0.0,0.0,2024-01-01,Forno de Tratamento Térmico,0.0
246,PowerLine Industries,N7VRSJHES0,105.0,0.0,0.0,105.0,2024-01-01,Forno de Tratamento Térmico,0.0
247,FusionTech Equipamentos,YS2G3X8BQB,,,,,2024-01-01,Máquina de Usinagem,
248,ProMetals Solutions,KI00Q0V6S3,,,,,2024-01-01,Brochadeira,
249,ProMetals Solutions,GEZ6YUEV79,,,,,2024-01-01,Brochadeira,
250,MetalForge Machinery,OUNGRPJFH1,,,,,2024-01-01,Máquina de Embalagem,
251,SteelDrive Systems,OF5QKYL3DH,0.0,0.0,0.0,0.0,2024-01-01,Equipamento de Medição de Precisão,0.0
252,MegaTech Industrial,5X9NR6TVEY,,,,,2024-01-01,Misturador Industrial,
253,MegaTech Industrial,UNK0PT5PW0,,,,,2024-01-01,Misturador Industrial,
254,PowerWorks Equipamentos,6RZ8EJ9MRI,,,,,2024-01-01,Desintegrador,
255,WeldMax Industries,DM3CILSTTU,0.0,0.0,0.0,0.0,2024-01-01,Prensa de Pneumática,0.0
256,WeldMax Industries,VKZNOTQ6AD,0.0,0.0,0.0,0.0,2024-01-01,Prensa de Pneumática,0.0
257,WeldMax Industries,REEVE42WK7,0.0,0.0,0.0,0.0,2024-01-01,Prensa de Pneumática,0.0
258,WeldMax Industries,UZ421NIIDC,0.0,0.0,0.0,0.0,2024-01-01,Prensa de Pneumática,0.0
259,WeldMax Industries,ALML9FMAZ8,,,,,2024-01-01,Prensa de Pneumática,
260,WeldMax Industries,XG21LK40D0,,,,,2024-01-01,Prensa de Pneumática,
261,WeldMax Industries,0920D6J6DA,0.0,0.0,0.0,0.0,2024-01-01,Prensa de Pneumática,0.0
262,WeldMax Industries,1ICFRI3XG9,0.0,0.0,0.0,0.0,2024-01-01,Prensa de Pneumática,0.0
263,TitanForce Equipamentos,A83VJ9TWGT,,,,,2024-01-01,Máquina de Costura Industrial,
264,TitanForce Equipamentos,YSHMP7XJD5,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Costura Industrial,0.0
265,TitanForce Equipamentos,MA05H9PU3W,,,,,2024-01-01,Máquina de Costura Industrial,
266,TitanForce Equipamentos,QMPHYE2QBJ,0.0,0.0,0.0,0.0,2024-01-01,Máquina de Costura Industrial,0.0
